key,value
adjustible,"adjustible"
adjustible caps,"hat,cap,baseball hat,baseball cap"
bandana,"bandana"
biker jackets,"jacket,coat,outerwear"
bottom,"trouser"
bottoms,"trousers"
caps,"hat,cap,baseball hat,baseball cap"
cotton feel,"cotton feel"
cotton feel jackets,"jacket,coat,outerwear"
cotton feel jkt mandarin,"jacket,coat,outerwear"
cotton feel vst,"vest"
fleece,"sweatshirt,sweat shirt,sweat-shirt,longsleeve,long sleeve,long-sleeve,hoodie"
fleece top,"sweatshirt,sweat shirt,sweat-shirt,longsleeve,long sleeve,long-sleeve,hoodie"
full finger, "glove,mitten"
gloves, "glove,mitten"
hat,"hat,cap,baseball hat,baseball cap"
headwear, "hat,cap,baseball hat,baseball cap"
hoodies activewear,"sweatshirt,sweat shirt,sweat-shirt,longsleeve,long sleeve,long-sleeve,hoodie"
hoodies pull over hoodies activewear,"sweatshirt,sweat shirt,sweat-shirt,longsleeve,long sleeve,long-sleeve,hoodie"
hoodies pull over hoodies activewear,"sweatshirt,sweat shirt,sweat-shirt,longsleeve,long sleeve,long-sleeve,hoodie"
hoodies pull over knits fleece activewear,"sweatshirt,sweat shirt,sweat-shirt,longsleeve,long sleeve,long-sleeve,hoodie"
hoodies pull over knits fleece,"sweatshirt,sweat shirt,sweat-shirt,longsleeve,long sleeve,long-sleeve,hoodie"
hoodies pull over,"sweatshirt,sweat shirt,sweat-shirt,longsleeve,long sleeve,long-sleeve,hoodie"
jacket,"jacket,coat,outerwear"
jackets,"jacket,coat,outerwear"
jewelry,"jewelry,accessory,adornment"
jkt mandarin,"jacket,coat,outerwear"
leathers belts,"belt"
leathers jackets,"jacket,coat,outerwear"
long sleeve activewear,"fleece,sweatshirt,sweat shirt,sweat-shirt,longsleeve,long sleeve,long-sleeve"
long sleeve jackets,"jacket,coat,outerwear,longsleeve,long sleeve,long-sleeve"
long sleeve tops knit,"fleece,sweatshirt,sweat shirt,sweat-shirt,longsleeve,long sleeve,long-sleeve"
long sleeve,"fleece,sweatshirt,sweat shirt,sweat-shirt,longsleeve,long sleeve,long-sleeve"
longsleeve tops knit,"fleece,sweatshirt,sweat shirt,sweat-shirt,longsleeve,long sleeve,long-sleeve"
mandarin no breakdown jackets,"jacket,coat,outerwear"
men,"men,women,unisex"
no breakdown misc accessories pins,"pin"
nylon feel jackets,"jacket,coat,outerwear"
nylon feel jackets,"jacket,coat,outerwear"
nylon feel jkt mandarin,"jacket,coat,outerwear"
nylon feel,"nylon feel"
pants bottoms,"bottom,pants,trousers"
pants,"pants,bottom,trouser"
pullover hoodie,"sweatshirt,sweat shirt,sweat-shirt,longsleeve,long sleeve,long-sleeve,hoodie"
short sleeve activewear,"short sleeve,short-sleeve,shortsleeve"
short sleeve tops knit,"tee,shirt,t-shirt,tshirt,short sleeve,short-sleeve,shortsleeve"
short sleeve tops woven,"tee,shirt,t-shirt,tshirt,short sleeve,short-sleeve,shortsleeve"
short sleeve,"tee,shirt,t-shirt,short sleeve,short-sleeve,shortsleeve"
sleeveless activewear,"muscle tee,muscle t-shirt,muscle tank,tank"
sleeveless top,"muscle tee,muscle t-shirt,muscle tank,tank"
sleeveless tops knit,"muscle tee,muscle t-shirt,muscle tank,tank"
sleeveless,"muscle tee,muscle t-shirt,muscle tank,tank"
tank,"muscle tee,muscle t-shirt,muscle tank,tank"
tee,"shirt,t-shirt,tshirt,short sleeve,short-sleeve,shortsleeve"
tintage,"like new,resale,re-sale,authentic,preworn,pre-worn"
tops knit,"tee,shirt,t-shirt,tshirt,short sleeve,short-sleeve,shortsleeve"
tops woven,"tee,shirt,t-shirt,tshirt,short sleeve,short-sleeve,shortsleeve"
unisex,"unisex,women,men"
vests,"jacket,coat,outerwear,longsleeve,long sleeve,long-sleeve"
vests tops,"jacket,coat,outerwear,longsleeve,long sleeve,long-sleeve"
women,"women"
